# {'n':1000, 'M':3, 'N':2, 'f':[0,2], 'f_':[3,5], 'x':[6,7]}
805,0.320,0.997,-1.271,0.320,0.998,0.327,0.320,0.997
806,0.697,0.930,-2.517,0.697,0.931,0.164,0.697,0.930
807,0.899,0.136,-0.141,0.900,0.135,0.475,0.899,0.136
808,0.582,0.074,1.351,0.583,0.074,0.670,0.582,0.074
809,0.825,0.272,-0.427,0.825,0.271,0.437,0.825,0.272
810,0.489,0.869,-1.499,0.489,0.870,0.297,0.489,0.869
811,0.186,0.676,0.474,0.186,0.677,0.555,0.186,0.676
812,0.959,0.010,0.124,0.960,0.010,0.509,0.959,0.010
813,0.359,0.872,-0.964,0.359,0.873,0.367,0.359,0.872
814,0.273,0.256,1.776,0.273,0.256,0.725,0.273,0.256
815,0.130,0.576,1.117,0.130,0.576,0.639,0.130,0.576
816,0.494,0.638,-1.211,0.494,0.638,0.335,0.494,0.638
817,0.488,0.860,-1.465,0.488,0.861,0.302,0.488,0.860
818,0.714,0.351,-0.520,0.715,0.351,0.425,0.714,0.351
819,0.025,0.502,1.880,0.025,0.502,0.739,0.025,0.502
820,0.392,0.260,1.146,0.392,0.259,0.643,0.392,0.260
821,0.610,0.829,-1.845,0.610,0.830,0.252,0.610,0.829
822,0.728,0.922,-2.608,0.729,0.922,0.153,0.728,0.922
823,0.298,0.726,-0.252,0.298,0.726,0.460,0.298,0.726
824,0.507,0.285,0.433,0.507,0.285,0.550,0.507,0.285
825,0.757,0.253,-0.118,0.758,0.253,0.478,0.757,0.253
826,0.040,0.008,3.807,0.040,0.008,0.990,0.040,0.008
827,0.059,0.400,2.150,0.058,0.400,0.774,0.059,0.400
828,0.549,0.071,1.494,0.549,0.071,0.688,0.549,0.071
829,0.849,0.231,-0.343,0.850,0.231,0.448,0.849,0.231
830,0.617,0.539,-1.362,0.618,0.539,0.315,0.617,0.539
831,0.254,0.626,0.261,0.254,0.627,0.527,0.254,0.626
832,0.286,0.695,-0.108,0.286,0.695,0.479,0.286,0.695
833,0.024,0.639,1.339,0.024,0.640,0.668,0.024,0.639
834,0.107,0.102,3.163,0.107,0.102,0.906,0.107,0.102
835,0.661,0.962,-2.500,0.662,0.963,0.167,0.661,0.962
836,0.181,0.709,0.384,0.181,0.709,0.543,0.181,0.709
837,0.317,0.641,-0.179,0.317,0.642,0.470,0.317,0.641
838,0.126,0.893,-0.078,0.126,0.894,0.483,0.126,0.893
839,0.221,0.883,-0.430,0.221,0.884,0.437,0.221,0.883
840,0.554,0.144,1.135,0.554,0.143,0.641,0.554,0.144
841,0.519,0.691,-1.319,0.519,0.692,0.321,0.519,0.691
842,0.888,0.978,-3.466,0.889,0.979,0.041,0.888,0.978
843,0.375,0.898,-1.122,0.375,0.899,0.347,0.375,0.898
844,0.963,0.733,-2.790,0.964,0.734,0.129,0.963,0.733
845,0.230,0.348,1.542,0.230,0.348,0.694,0.230,0.348
846,0.495,0.181,1.165,0.496,0.181,0.645,0.495,0.181
847,0.720,0.753,-1.995,0.720,0.753,0.233,0.720,0.753
848,0.214,0.415,1.314,0.214,0.415,0.665,0.214,0.415
849,0.492,0.804,-1.342,0.493,0.804,0.318,0.492,0.804
850,0.301,0.868,-0.706,0.301,0.868,0.401,0.301,0.868
851,0.044,0.553,1.599,0.044,0.553,0.702,0.044,0.553
852,0.104,0.264,2.516,0.104,0.263,0.822,0.104,0.264
853,0.174,0.620,0.738,0.173,0.620,0.589,0.174,0.620
854,0.388,0.018,2.370,0.388,0.018,0.803,0.388,0.018
855,0.912,0.281,-0.786,0.913,0.281,0.390,0.912,0.281
856,0.969,0.831,-3.201,0.970,0.832,0.075,0.969,0.831
857,0.701,0.903,-2.434,0.702,0.904,0.175,0.701,0.903
858,0.940,0.846,-3.145,0.941,0.846,0.082,0.940,0.846
859,0.429,0.977,-1.633,0.429,0.978,0.280,0.429,0.977
860,0.803,0.617,-1.801,0.803,0.618,0.258,0.803,0.617
861,0.947,0.153,-0.400,0.947,0.153,0.441,0.947,0.153
862,0.823,0.772,-2.408,0.824,0.773,0.179,0.823,0.772
863,0.909,0.686,-2.399,0.910,0.687,0.180,0.909,0.686
864,0.765,0.621,-1.727,0.766,0.621,0.268,0.765,0.621
865,0.904,0.049,0.189,0.904,0.048,0.518,0.904,0.049
866,0.084,0.856,0.239,0.084,0.856,0.524,0.084,0.856
867,0.024,0.420,2.215,0.024,0.420,0.782,0.024,0.420
868,0.432,0.191,1.373,0.432,0.191,0.672,0.432,0.191
869,0.138,0.910,-0.195,0.138,0.910,0.468,0.138,0.910
870,0.945,0.034,0.084,0.946,0.034,0.504,0.945,0.034
871,0.701,0.715,-1.840,0.701,0.715,0.253,0.701,0.715
872,0.645,0.805,-1.902,0.645,0.806,0.245,0.645,0.805
873,0.759,0.005,0.943,0.759,0.004,0.616,0.759,0.005
874,0.598,0.766,-1.657,0.599,0.766,0.277,0.598,0.766
875,0.723,0.055,0.881,0.724,0.054,0.608,0.723,0.055
876,0.112,0.479,1.586,0.112,0.479,0.700,0.112,0.479
877,0.257,0.746,-0.104,0.257,0.747,0.480,0.257,0.746
878,0.949,0.570,-2.093,0.950,0.571,0.220,0.949,0.570
879,0.091,0.825,0.329,0.091,0.826,0.536,0.091,0.825
880,0.695,0.949,-2.584,0.696,0.949,0.156,0.695,0.949
881,0.335,0.169,1.921,0.335,0.169,0.744,0.335,0.169
882,0.248,0.083,2.666,0.248,0.082,0.841,0.248,0.083
883,0.804,0.066,0.517,0.804,0.066,0.561,0.804,0.066
884,0.771,0.280,-0.288,0.771,0.279,0.455,0.771,0.280
885,0.661,0.067,1.074,0.661,0.067,0.633,0.661,0.067
886,0.502,0.016,1.919,0.502,0.015,0.744,0.502,0.016
887,0.923,0.110,-0.131,0.923,0.109,0.476,0.923,0.110
888,0.986,0.319,-1.227,0.987,0.319,0.333,0.986,0.319
889,0.385,0.003,2.445,0.385,0.002,0.812,0.385,0.003
890,0.816,0.100,0.331,0.817,0.099,0.536,0.816,0.100
891,0.810,0.427,-1.080,0.810,0.427,0.352,0.810,0.427
892,0.369,0.084,2.164,0.369,0.084,0.776,0.369,0.084
893,0.560,0.964,-2.111,0.561,0.965,0.218,0.560,0.964
894,0.548,0.996,-2.180,0.548,0.997,0.208,0.548,0.996
895,0.514,0.129,1.365,0.515,0.128,0.671,0.514,0.129
896,0.764,0.293,-0.332,0.764,0.293,0.450,0.764,0.293
897,0.575,0.788,-1.623,0.576,0.789,0.281,0.575,0.788
898,0.720,0.665,-1.761,0.721,0.666,0.263,0.720,0.665
899,0.768,0.616,-1.716,0.769,0.616,0.269,0.768,0.616
900,0.658,0.799,-1.930,0.659,0.799,0.241,0.658,0.799
901,0.733,0.990,-2.893,0.734,0.991,0.115,0.733,0.990
902,0.386,0.414,0.136,0.386,0.414,0.511,0.386,0.414
903,0.385,0.136,1.861,0.385,0.136,0.736,0.385,0.136
904,0.199,0.742,0.185,0.199,0.743,0.517,0.199,0.742
905,0.440,0.751,-1.029,0.440,0.752,0.359,0.440,0.751
906,0.455,0.390,-0.135,0.455,0.390,0.475,0.455,0.390
907,0.356,0.683,-0.492,0.356,0.683,0.429,0.356,0.683
908,0.855,0.545,-1.676,0.855,0.545,0.274,0.855,0.545
909,0.647,0.142,0.794,0.647,0.142,0.597,0.647,0.142
910,0.315,0.197,1.872,0.315,0.197,0.738,0.315,0.197
911,0.975,0.963,-3.753,0.976,0.964,0.003,0.975,0.963
912,0.844,0.876,-2.888,0.845,0.877,0.116,0.844,0.876
913,0.480,0.219,0.996,0.480,0.219,0.623,0.480,0.219
914,0.338,0.625,-0.284,0.338,0.626,0.456,0.338,0.625
915,0.675,0.212,0.346,0.676,0.212,0.538,0.675,0.212
916,0.587,0.601,-1.453,0.587,0.601,0.303,0.587,0.601
917,0.168,0.372,1.761,0.168,0.372,0.723,0.168,0.372
918,0.588,0.960,-2.202,0.588,0.961,0.206,0.588,0.960
919,0.093,0.850,0.227,0.092,0.851,0.523,0.093,0.850
920,0.959,0.481,-1.777,0.960,0.481,0.261,0.959,0.481
921,0.642,0.349,-0.388,0.642,0.349,0.442,0.642,0.349
922,0.320,0.343,1.029,0.320,0.343,0.627,0.320,0.343
923,0.754,0.422,-0.950,0.755,0.422,0.369,0.754,0.422
924,0.679,0.379,-0.625,0.680,0.379,0.411,0.679,0.379
925,0.117,0.661,0.854,0.117,0.661,0.605,0.117,0.661
926,0.567,0.518,-1.248,0.567,0.518,0.330,0.567,0.518
927,0.070,0.154,3.104,0.069,0.153,0.898,0.070,0.154
928,0.794,0.216,-0.073,0.794,0.216,0.484,0.794,0.216
929,0.237,0.699,0.142,0.237,0.699,0.512,0.237,0.699
930,0.141,0.778,0.308,0.141,0.779,0.533,0.141,0.778
931,0.281,0.188,2.068,0.281,0.188,0.763,0.281,0.188
932,0.526,0.932,-1.855,0.526,0.933,0.251,0.526,0.932
933,0.462,0.178,1.319,0.462,0.177,0.665,0.462,0.178
934,0.179,0.500,1.155,0.179,0.501,0.644,0.179,0.500
935,0.075,0.276,2.585,0.075,0.276,0.831,0.075,0.276
936,0.097,0.082,3.285,0.097,0.081,0.922,0.097,0.082
937,0.692,0.597,-1.553,0.692,0.598,0.290,0.692,0.597
938,0.570,0.506,-1.208,0.570,0.506,0.335,0.570,0.506
939,0.893,0.085,0.084,0.894,0.085,0.504,0.893,0.085
940,0.274,0.781,-0.292,0.274,0.781,0.455,0.274,0.781
941,0.199,0.329,1.793,0.199,0.329,0.727,0.199,0.329
942,0.356,0.899,-1.048,0.356,0.899,0.356,0.356,0.899
943,0.160,0.999,-0.638,0.160,1.000,0.410,0.160,0.999
944,0.425,0.424,-0.190,0.425,0.424,0.468,0.425,0.424
945,0.300,0.511,0.306,0.300,0.511,0.533,0.300,0.511
946,0.533,0.254,0.557,0.533,0.254,0.566,0.533,0.254
947,0.762,0.386,-0.785,0.762,0.386,0.391,0.762,0.386
948,0.346,0.608,-0.310,0.346,0.608,0.453,0.346,0.608
949,0.699,0.027,1.089,0.699,0.027,0.635,0.699,0.027
950,0.689,0.289,-0.111,0.690,0.288,0.479,0.689,0.289
951,0.769,0.651,-1.829,0.770,0.651,0.254,0.769,0.651
952,0.468,0.935,-1.632,0.468,0.936,0.280,0.468,0.935
953,0.215,0.897,-0.454,0.215,0.897,0.434,0.215,0.897
954,0.131,0.005,3.455,0.131,0.005,0.944,0.131,0.005
955,0.412,0.284,0.879,0.412,0.284,0.608,0.412,0.284
956,0.451,0.063,1.923,0.451,0.062,0.744,0.451,0.063
957,0.434,0.007,2.227,0.434,0.007,0.784,0.434,0.007
958,0.982,0.711,-2.776,0.982,0.712,0.131,0.982,0.711
959,0.335,0.257,1.451,0.335,0.257,0.683,0.335,0.257
960,0.431,0.808,-1.090,0.431,0.808,0.351,0.431,0.808
961,0.055,0.015,3.721,0.055,0.014,0.979,0.055,0.015
962,0.323,0.152,2.053,0.323,0.152,0.761,0.323,0.152
963,0.420,0.555,-0.726,0.420,0.555,0.398,0.420,0.555
964,0.117,0.900,-0.068,0.117,0.900,0.484,0.117,0.900
965,0.653,0.579,-1.481,0.653,0.580,0.300,0.653,0.579
966,0.616,0.654,-1.554,0.616,0.654,0.290,0.616,0.654
967,0.807,0.203,-0.069,0.808,0.203,0.484,0.807,0.203
968,0.919,0.831,-3.004,0.919,0.832,0.101,0.919,0.831
969,0.891,0.842,-2.937,0.892,0.843,0.110,0.891,0.842
970,0.786,0.962,-2.994,0.786,0.963,0.102,0.786,0.962
971,0.066,0.830,0.412,0.066,0.831,0.547,0.066,0.830
972,0.380,0.702,-0.660,0.380,0.703,0.407,0.380,0.702
973,0.332,0.277,1.348,0.333,0.277,0.669,0.332,0.277
974,0.555,0.825,-1.633,0.555,0.826,0.280,0.555,0.825
975,0.125,0.414,1.790,0.125,0.415,0.727,0.125,0.414
976,0.755,0.540,-1.445,0.756,0.540,0.304,0.755,0.540
977,0.668,0.370,-0.556,0.669,0.370,0.421,0.668,0.370
978,0.259,0.879,-0.573,0.259,0.880,0.418,0.259,0.879
979,0.177,0.189,2.516,0.177,0.189,0.822,0.177,0.189
980,0.072,0.275,2.605,0.072,0.274,0.833,0.072,0.275
981,0.564,0.100,1.305,0.565,0.100,0.664,0.564,0.100
982,0.232,0.823,-0.249,0.232,0.824,0.461,0.232,0.823
983,0.284,0.025,2.762,0.284,0.024,0.854,0.284,0.025
984,0.853,0.229,-0.347,0.854,0.229,0.448,0.853,0.229
985,0.679,0.485,-1.181,0.679,0.485,0.339,0.679,0.485
986,0.161,0.246,2.341,0.161,0.246,0.799,0.161,0.246
987,0.559,0.913,-1.919,0.559,0.914,0.243,0.559,0.913
988,0.274,0.866,-0.586,0.274,0.867,0.417,0.274,0.866
989,0.088,0.690,0.874,0.088,0.690,0.607,0.088,0.690
990,0.505,0.392,-0.381,0.505,0.392,0.443,0.505,0.392
991,0.722,0.550,-1.442,0.723,0.550,0.305,0.722,0.550
992,0.577,0.819,-1.701,0.577,0.820,0.271,0.577,0.819
993,0.709,0.994,-2.812,0.709,0.994,0.126,0.709,0.994
994,0.453,0.966,-1.688,0.453,0.967,0.273,0.453,0.966
995,0.682,0.648,-1.652,0.682,0.648,0.277,0.682,0.648
996,0.896,0.709,-2.439,0.897,0.710,0.175,0.896,0.709
997,0.076,0.211,2.847,0.076,0.210,0.865,0.076,0.211
998,0.633,0.603,-1.511,0.633,0.603,0.296,0.633,0.603
999,0.032,0.528,1.750,0.031,0.528,0.722,0.032,0.528
